title,price,rating,url,platform
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",6.0,,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-3,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",6.0,,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-4,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",6.0,,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJ8YZDF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-5,Amazon
"iPhone Plus 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; ...",8.0,,https://www.amazon.in/iPhone-Plus-16-256-GB/dp/B0DGJ8QKSF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-6,Amazon
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; ...",7.0,,https://www.amazon.in/iPhone-16-Plus-128-GB/dp/B0DGJ6JS1D/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-7,Amazon
"iPhone 16 Plus 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; ...",8.0,,https://www.amazon.in/iPhone-16-Plus-256-Ultrmarine/dp/B0DGJGRDDS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-8,Amazon
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fus...",1.0,,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQFYYPZF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-9,Amazon
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",1.0,,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFBDQJ1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-10,Amazon
Apple iPhone 15 (128 GB) - Black,5.0,,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_11?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-11,Amazon
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) S...",5.0,,https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQH1DBS/ref=sr_1_12?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w1mvqxT3IogBQqa06CU92GQ2U5pc1iLmSBc_x3tRJTPFUxyGkWEyiaftieQiXgI29sgxKfYQNxDjXp0aVQdtnw8v_VXRbJXQaOrml9HBKcSMctZiZw-Y7h6SeqOoOTV7vUmoEjU_9sjtr_PkNnt-LI5fHt6gn5lYn6I9-S4dVyZ0ze3fJVw4-Jay7A3ah0lkFU5Dyld_iXJfaHqmb1LGEFA.LMBWdV1UZ1Zo-N5YQ_dHl3XTesBGUNK6_doPj46XLjw&dib_tag=se&keywords=iPhone+16&qid=1762482755&sr=8-12,Amazon
