title,price,rating,url,platform
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-3,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-4,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGHZWBYB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-5,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJ8YZDF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-6,Amazon
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultra...",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Ultramarine/dp/B0DGJ7TGDR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-7,Amazon
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fus...",134900.0,4.6,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQFYYPZF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-8,Amazon
"iPhone Plus 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; ...",89900.0,4.6,https://www.amazon.in/iPhone-Plus-16-256-GB/dp/B0DGJ8QKSF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-9,Amazon
Apple iPhone 15 (128 GB) - Black,51990.0,4.5,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX1W1XY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-10,Amazon
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) S...",51499.0,4.5,https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQH1DBS/ref=sr_1_11?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-11,Amazon
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",119900.0,3.3,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFBDQJ1/ref=sr_1_12?dib=eyJ2IjoiMSJ9.PEzr0xv2GBG2CIBcQbA3w6qg-4GpE7dFwCGgH5DZrO2vi-MXVINIxf4zLGm6uhEG41m4jtWUCK4B18H-i3TeLziWqA-__18LfHi7V0Oygx5lErcuMHzT4h8oX0LAP4OEtmW0oLpUieNcikeFip3XtpOk7mOJbhpndE6bCPHRRP53OCl5XET0s4a1XBKKy3TQdFHYJ8l5aKgdVTsm4-H74D2ThGgM7zMn7i3wY622JBI.8kXzYh8ZIoFHnkT2pyXxR_cW9C_w7atLkYV1LGGhay4&dib_tag=se&keywords=iPhone+16&qid=1762483303&sr=8-12,Amazon
