title,price,rating,url,platform,timestamp
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fus...",134900.0,4.5,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQFYYPZF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-3,Amazon,2025-11-03 21:21:39
"iPhone 17 Pro 512 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fus...",154900.0,4.5,https://www.amazon.in/iPhone-Pro-512-Promotion-Breakthrough/dp/B0FQF5DG3P/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-4,Amazon,2025-11-03 21:21:39
"iPhone 17 Pro 1 TB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusio...",174900.0,4.5,https://www.amazon.in/iPhone-17-Pro-Promotion-Breakthrough/dp/B0FQFBHQMJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-5,Amazon,2025-11-03 21:21:39
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",66900.0,4.5,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGHZWBYB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-6,Amazon,2025-11-03 21:21:39
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",119900.0,3.2,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFJGP8S/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-7,Amazon,2025-11-03 21:21:39
Apple iPhone 15 (128 GB) - Pink,51990.0,4.5,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-8,Amazon,2025-11-03 21:21:39
"mobistyle Magnetic Silicone Back Cover for iPhone 17 6.3-Inch, Compatible with Mag-Safe, Silky Soft Touch, Shock Absorbing...",449.0,3.5,https://www.amazon.in/mobistyle-iPhone-17-Compatible-Protection/dp/B0FT8QSKT4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-9,Amazon,2025-11-03 21:21:39
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center...",119900.0,3.2,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFTV1NP/ref=sr_1_10?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-10,Amazon,2025-11-03 21:21:39
SNAPWAVE iPhone 17 Silicone Back Case | Shock Proof Design & Camera Protection | Premium Rubberised Apple iPhone 17 Cover...,299.0,2.0,https://www.amazon.in/SNAPWAVE-Silicone-Protection-Rubberised-Microfiber/dp/B0FSNXJKGH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-11,Amazon,2025-11-03 21:21:39
"Samsung Galaxy Z Fold6 5G Smartphone with Galaxy AI (Silver Shadow, 12GB RAM, 256GB Storage), 50MP High-Resolution Camera,...",109999.0,4.2,https://www.amazon.in/Samsung-Galaxy-Smartphone-Silver-Storage/dp/B0D73TQLFZ/ref=sr_1_12?dib=eyJ2IjoiMSJ9.nmwGHrewwiw-c3C0yW3Sq4tib_EVxgeGBatA6N00_OumlRODzqrOO4y9xDag1VciyWwW-aS2VQPZO8IAuQidCG65tgoSn6cFY46bC7tG28OXm6tKsIX1eY8u77v7h-xjI2fmJRo_L-YUqo9OTwsnJbN53Kh-vQKRWfD2NINL7X9xDV5EbqGAxv5Tfi_wfZGoWMhvS7BIwb5AkyAgrlNbc0CWJ2R2Brk0WKWVJh6S5dc.xyDJ6GyzQd2lX8j81lAIvgbIQqOGGuDzOC5qnn8po_0&dib_tag=se&keywords=iphone+17&qid=1762185078&sr=8-12,Amazon,2025-11-03 21:21:39
