title,price,rating,url,platform,price_num
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) S...",51499.0,4.5,https://www.amazon.in/iPhone-16e-128-Intelligence-Supersized/dp/B0DXQHMRCP/ref=sr_1_13?dib=eyJ2IjoiMSJ9.wa1Mduoi5z5GFkGrEynB8VggXnizsSnVkNuANSqWzf7aOOIwbTNiM9hnO0ZlEDnJ9SusptWGSHvuSjcyvY4_x6A79qTc1Tx0gkbBxUC30_fp77x8yimg0JnNtaYylS8sbwG2B2OgVOg8ptFDvdn8aJq-wc5IhP0J4jZXQnCzfNakOamIPVPSwmO17p1yKVZAB_mZFryXU1jlDWUsVA1C5dkHx4PSpUHMJ4ex5PCltT0.IPRt0FGcYR8Wx7gzmCQBdUQMtkLK2fjJ_P_1C-vzzbc&dib_tag=se&keywords=iPhone+16&qid=1762581580&sr=8-13,Amazon,51499.0
Apple iPhone 15 (128 GB) - Pink,53990.0,4.5,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX3TW6X/ref=sr_1_14?dib=eyJ2IjoiMSJ9.wa1Mduoi5z5GFkGrEynB8VggXnizsSnVkNuANSqWzf7aOOIwbTNiM9hnO0ZlEDnJ9SusptWGSHvuSjcyvY4_x6A79qTc1Tx0gkbBxUC30_fp77x8yimg0JnNtaYylS8sbwG2B2OgVOg8ptFDvdn8aJq-wc5IhP0J4jZXQnCzfNakOamIPVPSwmO17p1yKVZAB_mZFryXU1jlDWUsVA1C5dkHx4PSpUHMJ4ex5PCltT0.IPRt0FGcYR8Wx7gzmCQBdUQMtkLK2fjJ_P_1C-vzzbc&dib_tag=se&keywords=iPhone+16&qid=1762581580&sr=8-14,Amazon,53990.0
OnePlus 13s | Snapdragon 8 Elite | Best Battery Life Ever on a Compact Phone | Studio-Grade Detail with Triple AF Cameras...,51999.0,4.5,https://www.amazon.in/OnePlus-Snapdragon%C2%AE-Battery-Lifetime-Warranty/dp/B0F5WTG8RG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.wa1Mduoi5z5GFkGrEynB8VggXnizsSnVkNuANSqWzf7aOOIwbTNiM9hnO0ZlEDnJ9SusptWGSHvuSjcyvY4_x6A79qTc1Tx0gkbBxUC30_fp77x8yimg0JnNtaYylS8sbwG2B2OgVOg8ptFDvdn8aJq-wc5IhP0J4jZXQnCzfNakOamIPVPSwmO17p1yKVZAB_mZFryXU1jlDWUsVA1C5dkHx4PSpUHMJ4ex5PCltT0.IPRt0FGcYR8Wx7gzmCQBdUQMtkLK2fjJ_P_1C-vzzbc&dib_tag=se&keywords=iPhone+16&qid=1762581580&sr=8-16,Amazon,51999.0
"iPhone 16 Pro 512 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works ...",,4.5,https://www.amazon.in/iPhone-16-Pro-512-GB/dp/B0DGHTBK1Q/ref=sr_1_17?dib=eyJ2IjoiMSJ9.wa1Mduoi5z5GFkGrEynB8VggXnizsSnVkNuANSqWzf7aOOIwbTNiM9hnO0ZlEDnJ9SusptWGSHvuSjcyvY4_x6A79qTc1Tx0gkbBxUC30_fp77x8yimg0JnNtaYylS8sbwG2B2OgVOg8ptFDvdn8aJq-wc5IhP0J4jZXQnCzfNakOamIPVPSwmO17p1yKVZAB_mZFryXU1jlDWUsVA1C5dkHx4PSpUHMJ4ex5PCltT0.IPRt0FGcYR8Wx7gzmCQBdUQMtkLK2fjJ_P_1C-vzzbc&dib_tag=se&keywords=iPhone+16&qid=1762581580&sr=8-17,Amazon,
"Apple iPhone 16 (Black, 128 GB)","₹69,900",4.6,https://www.flipkart.com/apple-iphone-16-black-128-gb/p/itmb07d67f995271?pid=MOBH4DQFG8NKFRDY&lid=LSTMOBH4DQFG8NKFRDYNBDOZI&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFG8NKFRDY.SEARCH&ppt=sp&ppn=sp&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,69900.0
"Apple iPhone 16 (Pink, 128 GB)","₹69,900",4.6,https://www.flipkart.com/apple-iphone-16-pink-128-gb/p/itmc2e910b4d0b1c?pid=MOBH4DQFWJVDRSHM&lid=LSTMOBH4DQFWJVDRSHMAMTBLL&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFWJVDRSHM.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,69900.0
"Apple iPhone 16 (Black, 256 GB)","₹79,900",4.6,https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1?pid=MOBH4DQFZCJJXUFG&lid=LSTMOBH4DQFZCJJXUFGO5DY3W&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFZCJJXUFG.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,79900.0
"Apple iPhone 16 (White, 128 GB)","₹69,900",4.6,https://www.flipkart.com/apple-iphone-16-white-128-gb/p/itm7c0281cd247be?pid=MOBH4DQF849HCG6G&lid=LSTMOBH4DQF849HCG6GXHBPXY&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQF849HCG6G.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,69900.0
"Apple iPhone 16 (Teal, 128 GB)","₹69,900",4.6,https://www.flipkart.com/apple-iphone-16-teal-128-gb/p/itmce4bb3f55cc2f?pid=MOBH4DQFSY9ETDUU&lid=LSTMOBH4DQFSY9ETDUUI6AN3O&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFSY9ETDUU.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,69900.0
"Apple iPhone 16 (White, 256 GB)","₹79,900",4.6,https://www.flipkart.com/apple-iphone-16-white-256-gb/p/itma0ed9b33a2973?pid=MOBH4DQFCU7ZY9HG&lid=LSTMOBH4DQFCU7ZY9HGOIRVNY&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFCU7ZY9HG.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,79900.0
"Apple iPhone 16 (Ultramarine, 128 GB)","₹69,900",4.6,https://www.flipkart.com/apple-iphone-16-ultramarine-128-gb/p/itmcc210cae43fba?pid=MOBH4DQFYZT6EH2F&lid=LSTMOBH4DQFYZT6EH2FXM70WU&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFYZT6EH2F.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,69900.0
"Apple iPhone 16 (Teal, 256 GB)","₹79,900",4.6,https://www.flipkart.com/apple-iphone-16-teal-256-gb/p/itm2b7be11cfadef?pid=MOBH4DQFYKJHESFG&lid=LSTMOBH4DQFYKJHESFGP6ZE0Z&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFYKJHESFG.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,79900.0
"Apple iPhone 16 (Pink, 256 GB)","₹79,900",4.6,https://www.flipkart.com/apple-iphone-16-pink-256-gb/p/itm0d8c695cded44?pid=MOBH4DQF28XAYM2S&lid=LSTMOBH4DQF28XAYM2S3JPA23&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQF28XAYM2S.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,79900.0
"Apple iPhone 16 (Ultramarine, 256 GB)","₹79,900",4.6,https://www.flipkart.com/apple-iphone-16-ultramarine-256-gb/p/itm03cecd3e85111?pid=MOBH4DQFMGE7UC8Q&lid=LSTMOBH4DQFMGE7UC8QXZXA8M&marketplace=FLIPKART&q=iPhone+16&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=58065dbd-48c6-423d-bb54-b94efdbdbce8.MOBH4DQFMGE7UC8Q.SEARCH&ppt=hp&ppn=homepage&ssid=pi3egtib800000001762581588414&qH=8e0ee2dac8c1afb1,Flipkart,79900.0
